Date,Opponent,Team,Handed (Right or Left),Strengths / Weaknesses,Report by...,Scouting Report,Doubles
6/27/2026,Michael Melnikov,Swarthmore,Right Handed,"Melnikov won the match after Kael took the first set. Melnikov attacked Kael's second serve and kept him on defense throughout the match.

• Big serve, tough to break
• Loves low balls and goes for winners
• BH stronger than FH
• Willing to come to net with good volley
• Hard to lob

ATTACK:
• Huge serve
• Attacks second serve
• Goes for winners on low balls
• Good volley at net

WATCH OUT FOR:
• Get the ball up on him
• Don't try to lob him",Schills,,false
4/18/2026,Stylianos Papamichael,Kenyon,Right Handed,"Strengths:

movement

passing shots 

consistency

slice



Weaknesses:

serve

net play 

approach shots 

forehand return",Aidan,,false
4/18/2026,Alejandro Gonzalez and Eliezer Gonzalez,Kenyon,Right Handed,"We both served very well. Alejandro and Eli didn't play very offensively, which allowed us to take control. We both hit hard and deep which helped. We moved at the net at the right time. ",Jake,,false
4/18/2026,Paulo Pocasangre,Kenyon,Right Handed,"Paulo had a good serve and good forehand. He didn’t have a weapon with his backhand and sliced a lot. I could've served better, but I hit the ball well. I should have come in more on balls that stretched Paulo wide. ",Jake,,false
4/18/2026,Jay Dixit,Kenyon,Right Handed,"Strenghts:

* Very good kick serve on Ad and Deuce as well very hard to get a forehand on Deuce side, but Ad side kick serve is even better had to either short hop SABR or bleed it out super deep
* Slice very good as well used it I would say about 60-70% of the time instead of a backahdn
* Big forehand if ball is left short or slow
* Loves hitting low flat balls at his waist his prime position
* Great hands in second set, first not really but second very good with volleys
* Good with on the run passing shots, going middle to come in was better likes to be stretched
* Likes to come in when he can not an insane amount, if he served and volleyed more with the kick it would’ve been a much tougher match

Weaknesses:

* Movement if you wrong foot him very hard for him to get to ball
* Passing shots were not great unless court was wide open
* Backhand didn’t do much
* Breaks down and misses randomly
* Return isn’t special not terrible but all he can do really is block back or slap a forehand if he gets lucky, missed about 4-6 forehand deuce side returns in the net and maybe hit one winner on it max",Nick,,false
4/18/2026,"Gonzalez Gonzalez ",Kenyon,Right Handed,"alejandro weak backhand return, can’t stick volley, a lot of drop volleys. Doesn’t miss on the forehand strong serve

eli cross formation to the forehand stronger volleys moves a lot at the net. Strong serves but breaks down a lot more.",Wesley,,false
4/18/2026,Alejandro Gonzalez,Kenyon,Right Handed,"Backhand Weakness

Great Mover

Solid Volleys

Makes lots of good first serves",Ethan,,false
4/18/2026,Maximo Castellanos,Kenyon,Right Handed,"Solid from both ends. Forehand is weapon and looks to hit majority forehands. Serve will start off well but then drop off, not confident at the net, mentally weak.",Kael,,false
4/18/2026,Alejandro Gonzalez,Kenyon,Right Handed,"ATTACK:
• Come forward whenever he pushes short—he's vulnerable at net despite decent volleys
• Hit hard at him or go over him on approach shots; don't float soft balls to his sides
• Play through the middle to force him into creation mode rather than defense

WATCH OUT FOR:
• His defensive consistency—won't give free points, so avoid going for too much early
• Solid volley technique on soft balls, so keep approach shots firm and varied
• Patient baseline game; he'll absorb pace and wait for opportunities",Schills,,false
3/29/2026,Matthew Johnstone,Emory,Right Handed,"S:

* Ball tolerance and movement
* Fighting spirit and energy
* Returns good didn’t miss any but didn’t put much pressure on you unless you gave him a deuce side forehand he hit a couple winners short cross on me
* Angles especially forehand side can push you out wide very very easily

W:

* Serve can’t hurt you every one of them is a slice don’t think he hit a single kick
* Hurting you, can’t do it unless ball is left insanely short, he came to the net I believe three times total in the match and only hit one volley
* Don’t think he can volley to well maybe more towards the neutral side then weakness

N:

* Backhand and forehand both pretty even all around",Nick,,false
3/27/2026,Ruin Feng,Emory,Right Handed,,,,false
3/27/2026,Andreas Sillaste,Amherst,Right Handed,,Schills,,false
3/27/2026,Cal Wider,Amherst,Left Handed,,Schills,,false
3/27/2026,George Chaimados,Amherst,Left Handed,"Lefty. Crafty and patient. Drops deep behind the baseline and runs well. A lot of heart.  Probably heart of team. A lot of chip forehand and junk. Will serve and volley from time to time.  Keeps you off balance and out of rhythm. His cc forehand from d can’t hurt you and if he tries to go line he breaks down. He is all loop forehand cc.  Need to stay steady on that side. Jake would probably try and pull trigger dtl too soon.  Chapi stays in discipline and gets George to go for the dtl. Likes to sneak in off of slice backhand. Backhand maybe better than forehand. Can’t really hurt you with forehand. 




When he sneaks in make him volley. Slow passing shots or chips are effective. Very erratic volley. 


",Schills,,false
3/27/2026,Lukas Fraganberg,Amherst,Right Handed,"Volley suspect. Hits big and wants to dictate with forehand. Will df some. Rushed his serve. Natural cc forehand pretty good. Good with forehand from b/c. Playing him middle forehand like Sarmiento might be the play.  Have to have pace.  Forehand from B suspect as footwork is not great.  Off pace is a good play too. ",Schills,,false
3/27/2026,Aldiyar Abzhan,Amherst,Left Handed,"Lefty - big size. Willing to come in - but no agility. GIves ground easily as he needs time to setup, especially on forehand. 2H backhand good when he can step in. Anything that makes him move is good. A little double hitch on the backhand ( a bit like Nick) - does this timing thing. When he comes in, he is kind of an easy pass as he has no lateral movement - don’t need to be too good with the passing shot.  Loves the flat inside out serve, but doesn’t really make it that much.  Much more likely to step into a backhand than a forehand (since he backs up (gives ground) easily). Not much ball tolerance - meaning he doesn’t want long points.  Prefers inside-out forehand from middle of the court - as that is one of his best weapons (but not consistent). Not a terribly cerebral or confident player. Need to get on him early and make him frustrated.  When he tries to slice his backhand it is a mess - long and sloppy. Doesn’t move well at baseline - need time to feel good about his groundstrokes.  He is pretty good attacking short balls (inside the service line) - but again - not great at the net. Wants to play big and come in - but is probably not good enough to do it consistently.  Chapi and Jake are probably both good match ups for him. With time (to set up his groundstrokes) he is pretty good - take time away and he falls off significantly because his footwork is very suspect.  He has a decent volley if it comes to him in a comfortable position.  Good overhead and is 6’5 so don’t Try and lob early in the point when you are on defense because he has come in to the net.",Schills,,false
3/27/2026,Rex Harrison,Amherst,Left Handed,"Lefty. Steady. Good 2H backhand that he can hit in either direction. Forehand to his D position - can’t really hurt you. Big windup on Forehand if you can hit pace to that side. Runs pretty well - but not a great athlete - competes hard. Clean footwork. Good movement on lefty slice serve. Defense is suspect running to his left. Patience may be a question. 

really leans into the lefty serve stuff. Lots of hard slice. 2H backhand from middle of the court can breakdown as he gets lazy. Forehand is good but when he tries to go inside out from middle of the court- the footwork breaks down and he will make errors.  Will come in and look to attach short balls. Good athlete with good flexibility.  Can play defense with his hands and flex. Doesn’t run great - especially up and back. Loves to dictate with his forehand - especially from “A” position and “B” position. Hard to read where he is hitting his forehand. Will serve and volley some.  Prototypical lefty game. 

Stronger kid than I would have thought. Has good pace, and penetration off of groundstrokes. Comes into the net a fair amount (53 times out of 180 points 29%).  Backhand is short and compact and clean.  Good stroke.  Likes to play “Big Tennis” “First Strike” tennis.  Backhand can hurt you.  Can probably lob him when he comes in as he is tight on the net. Up high on the backhand will create some errors. Will double fault some 

I don’t think his “ball tolerance” (willingness to stay in a baseline rally) is high based on video and his net appearances stats. 

Can’t really hurt you from “d” - more dangerous from “a”.  Loves to hit inside out forehand from “B” to “A” .  He loves “B” to “A” as a lefty

Can probably lob him as he is fairly close to the next when he comes in. For a guy that comes in a lot - he doesn’t serve and volley much

** From Forehand corner (“ D” as a lefty) he wants to hit 1 crosscourt then go for the big forehand down the line - which is really 50/50 hit or miss

** He hits his forehand to the open court a really high percentage of the time. 

For the amount of times he comes in - he is not a great volleyer.  Will make errors and not terribly agile.  Backhand volley might be better / more reliable than forehand volley. Overhead not great. 







Will Double fault some 


",Schills,,false
3/27/2026,Ronald Gualario,Amherst,Right Handed,"Big Guy. 1H backhand - not a threat. Big serve and relies on it. Not fast and doesn’t run great - but he does run hard. Forehand is long and straight armed. Footwork is suspect in the middle of the court - so that might be a good target. 1H backhand is good from the sidelie (postion D) and if he can get his arm extended. Serves and Volleys a fair amount - GO AT BACKHAND VOLLEY BODY (don’t let him get his arms extended -  jam him).  Wants to come in and play agressive - not looking to grind. Anthony should be a good matchup. Will run around backhand to get forehands from C and D.  Closes hard at the net - so you can go over him with a lob - especially after the first volley.   His favorite serve is the hard slice serve on both sides, that moves a lot. He let’s the “bounce do the work”.  He is pretty “chill” and not terribly loud - but he does get frustrated and shows in his body language. Good traditional volley if he has time. Not much ball tolerance - wants to attack quickly with big groundstrokes.  Straight arm forehand is a problem for him - especially from the middle of the court.",Schills,,false
3/27/2026,Sillaste / Frangenberg,Amherst,,,,,true
3/27/2026,Chaidemenos (ad) /Harrison (deuce),Amherst,,,Schills,,true
3/18/2026,Rex Harrison,Amherst,Left Handed,"S:

* Forehand, spinny and good with angles and being able to attack it when given a pretty obvious opportunity
* Movement was pretty good able to get to both sides of the court well doesn’t mind being stretched out, I can’t remember about hitting middle to him but I think it was just pretty standard rally balls back cuts off his angles

W: 

* Shot tolerance after about 10 balls would start to see more errors creep in
* Keeping him deep and held back spinny high balls good to can’t hurt you if you do that
* Mental strength when he isn’t winning or even close in score



Neutral:

* Volleys (unsure but I think average)
* Serve
* Backhand",Nick,,false
2/28/2026,Max Lindstrom and Winston Zhang - Swarthmore,Swarthmore,Right Handed,"We served and returned well. Hit volleys well. We need to work on not making easy mistakes during rally balls. ",Jake,,false
2/28/2026,Nikola Galov - Swarthmore,Swarthmore,Right Handed,"I need to cut down on double faults. After first set, I did better playing the point longer and more smart. I stayed really strong mentally. ",Jake,,false
